URL	Pret	Tip procesor:	Chipset video:	Video:	CPUMark	GPUMark	Capacitate HDD:	Tip unitate stocare:	Memorie:	Greutate (Kg):	Sistem de operare:
http://www.cel.ro/calculatoare-desktop/desktop-dell-optiplex-7040-sff-i5_6500-500gb-4gb-win10pro-l/	3924	intel core i5 6500	intel	intel hd  530	5736	964	500		4	4.48kg	windows 10 pro
http://www.cel.ro/calculatoare-desktop/desktop-dell-inspiron-5459-aio-i5_6400t-1tb-8gb-gt930m-4gb-win10-fullhd-touch-l/	4599	intel core i5 6400t	nvidia	gt930m	5286	-	1000		8	8.4	windows 10
http://www.cel.ro/calculatoare-desktop/desktop-dell-optiplex-9020-mt-i7_4790-256gb-16gb-win10-l/	5599	intel core i7 4790 	intel	hd  4600	11204	706	256		16	9.4kg	windows 10
http://www.cel.ro/calculatoare-desktop/mini-pc-intel-nuc-kit-boxnuc5i3ryh-i3_5010u-nohdd-noram-l/	1404	intel core i3 5010u 	intel	hd  5500	3058	559	nohdd		noram		fara sistem
http://www.cel.ro/calculatoare-desktop/desktop-lenovo-thinkcentre-e73-mt-i7_4790s-500gb_7200rpm-4gb-win7-pro-l/	3599	intel core i7 4790s 	intel	intel hd  4600	9623	710	500		4	7.5 kg	windows 8 professional (64bit)
http://www.cel.ro/calculatoare-desktop/mini_pc-lenovo-ideacentre-200_01bw-dual-core-3205u-500gb_5400rpm-4gb-l/	899	intel celeron 3205u	intel	intel hd 	1697	311	500		4	1 kg	fara sistem
http://www.cel.ro/calculatoare-desktop/desktop-dell-optiplex-3020-mt-i5_4590-500gb-8gb-win10-l/	3059	intel core i5 4590	intel	intel hd  4600	6953	710	500		8	9.4 kg	windows 10
http://www.cel.ro/calculatoare-desktop/diaxxa-office-buget-i3_4170-3.7ghz-500gb-4gb-ddr3-1600mhz-l/	1149	intel core i3 4170		intel hd  4400	4583	547	500		4	3.3kg	fara sistem
http://www.cel.ro/calculatoare-desktop/desktop-asus-m32cd-i7_6700-2tb-8gb-radeon-r9-370-2gb-l/	3999	intel core i7 6700	amd	r9 370	11003	4248	2000		8	8.3	fara sistem
http://www.cel.ro/calculatoare-desktop/desktop-lenovo-ideacentre-c50_30-aio-i3_5005u-1tb_7200rpm-4gb-gt820a-2gb-touch-l/	2799	intel core i3 5005u 	nvidia	gt 820a	2910	-	1000		4	6.2 kg	fara sistem
http://www.cel.ro/calculatoare-desktop/desktop-lenovo-ideacentre-y700_34ish-i7_6700-2tbplus8gb-8gb-gtx960-2gb-win10-l/	4599	intel core i7 6700	nvidia	gtx 960	11003	5938	2000		8	15 kg	windows 10
http://www.cel.ro/calculatoare-desktop/desktop-asus-k31ad-dual-core-g3260-500gb-4gb-dvdrw-l/	1384	intel core i3 4160 	intel	intel hd 	4383	311	500		4	8.6 kg	fara sistem
http://www.cel.ro/calculatoare-desktop/desktop-lenovo-ideacentre-300-i5_6200u-1tb-4gb-nvidia-gt920a-2gb-fhd-l/	2799	intel core i5 6200	nvidia	gt920a	3917	-	1000		4		fara sistem
http://www.cel.ro/calculatoare-desktop/desktop-lenovo-ideacentre-300_22isu-aio-i3_6100u-1tb-4gb-fullhd-l/	2299	intel core i3 6100u			3505	-	1000		4	6.5 kg	fara sistem
http://www.cel.ro/calculatoare-desktop/desktop-asus-k31ad-i3_4170-1tb-4gb-nvidia-gt730-2gb-dvdrw-l/	1899	intel core i3 4170 	nvidia	gt730	4583	-	1000		4	8.6 kg	fara sistem
http://www.cel.ro/calculatoare-desktop/mini_pc-dell-optiplex-7040-i5_6500t-500gb-4gb-win7pro-l/	3189	intel core i5 6500t	intel	intel hd  530	5736	964	500		4	1.28	windows 7 professional (64bit)
http://www.cel.ro/calculatoare-desktop/desktop-dell-optiplex-3240-aio-i5_6500-500gb-4gb-win10pro-fullhd-l/	4399	intel core i5 6500	intel	intel hd  530	5736	964	500		4	7.37	windows 10 pro
http://www.cel.ro/calculatoare-desktop/mini-pc-dell-optiplex-9020-m-i5_4590t-500gb-4gb-win7pro-wifi-l/	3364	intel core i5 4590t 	intel	hd  4600	5484	706	500		4	1.28 kg	windows 7 professional (64bit)
http://www.cel.ro/calculatoare-desktop/diaxxa-entra-powered-by-asus-fx_4320-4ghz-1tb_7200rpm-4gb-l/	1099	fx 43200 x4 4 core			-	-	1000		4		fara sistem
http://www.cel.ro/calculatoare-desktop/desktop-dell-optiplex-7020-sff-i3_4160-500gb-4gb-dvdrw-linux-l/	2054	intel core i3 4160	intel	intel hd  4400	4383	547	500		4	6 kg	linux
http://www.cel.ro/calculatoare-desktop/desktop-hp-prodesk-600-g2-mt-i5_6500-500gb-4gb-win10pro-l/	3634	intel core i5 6500	intel	intel hd  530	5736	964	500		4	7.35 kg	windows 10 pro
http://www.cel.ro/calculatoare-desktop/desktop-asus-et2321iuth-i5_4200u-1tbplus128gb-4gb-fullhd-touch-l/	3224	intel core i5 4200u	intel	intel hd  4400	3263	547	1000		4	9	fara sistem
http://www.cel.ro/calculatoare-desktop/desktop-dell-optiplex-7040-sff-i7_6700-1tb-8gb-win10-l/	4799	intel corei7 6700	intel	intel hd  530	-	964	1000		8	4.48kg	windows 10 pro
http://www.cel.ro/calculatoare-desktop/desktop-asus-rog-tytan-i7_4790k-1tbplus128gb-16gb-gtx970-4gb-bluray-l/	7204	intel core i7 4790k 	nvidia	gtx970	11204	8666	128		16		fara sistem
http://www.cel.ro/calculatoare-desktop/desktop-dell-optiplex-3020-sff-i5_4590-500gb-4gb-win10pro-l/	2849	intel core i5 4590	intel	hd  4600	6953	706	500		4	6 kg	windows 10 pro
http://www.cel.ro/calculatoare-desktop/desktop-dell-optiplex-5040-sff-i5_6500-500gb-8gb-win10-l/	3349	intel core i5 6500	intel	intel hd  530	5736	964	500		8	4.48kg	windows 10 pro
http://www.cel.ro/calculatoare-desktop/desktop-dell-optiplex-3040-mt-i5_6500-500gb-4gb-win10pro-l/	3069	intel core i5 6500	intel	intel hd  530	5736	964	500		4	7.99	windows 10 pro
http://www.cel.ro/calculatoare-desktop/desktop-dell-optiplex-7020-mt-i7_4790-500gb-8gb-ubuntu-l/	3499	intel core i7 4790 	intel	hd  4600	11204	706	500		8	9.4 kg	ubuntu
http://www.cel.ro/calculatoare-desktop/desktop-hp-z240t-xeon-e3_1225v5-1tb-8gb-quadro-k620-2gb-win10pro-l/	5564	intel xeon e3 1225 v5	nvidia	quadro k620	-	2263	1000		8	8.6	windows 10 pro
http://www.cel.ro/calculatoare-desktop/desktop-dell-optiplex-3020-sff-i5_4590-500gb_7200rpm-4gb-l/	2099	intel core i5 4590 	intel	hd  4600	6953	706	500		4	6 kg	linux
http://www.cel.ro/calculatoare-desktop/diaxxa-best-buy-dual-core-g3260-3.3ghz-1tb-4gb-ddr3-1600mhz-l/	899			intel hd 	-	311	1000		4		fara sistem
http://www.cel.ro/calculatoare-desktop/desktop-lenovo-s500-sff-i3_4170-500gb-4gb-dvdrw-l/	1749	intel core i3 4170	intel	intel hd  4400	4583	547	500		4	6.6	fara sistem
http://www.cel.ro/calculatoare-desktop/desktop-dell-optiplex-7040-sff-i7_6700-1tb-8gb-win8pro-l/	4984	intel corei7 6700	intel	intel hd  530	-	964	1000		8	4.48kg	windows 8 professional (64bit)
http://www.cel.ro/calculatoare-desktop/desktop-asus-rog-g11cb-i5_6400-1tb-8gb-nvidia-gtx950-2gb-l/	3494	intel core i5 6400	nvidia	gtx 950	5286	5247	1000		8	9.78kg	fara sistem
http://www.cel.ro/calculatoare-desktop/desktop-dell-optiplex-3020-mt-i5_4590-500gb_7200rpm-4gb-ubuntu-l/	2149	intel core i5 4590 	intel	hd  4600	6953	706	500		4	9.4 kg	ubuntu
http://www.cel.ro/calculatoare-desktop/desktop-lenovo-ideacentre-y700-i5_6400-2tbplus8gb-120gb-8gb-gtx970-4gb-win10-l/	4999	intel core i5 6400	nvidia	gtx 970	5286	8666	2000		8	15 kg	windows 10
http://www.cel.ro/calculatoare-desktop/desktop-asus-m32cd-i5_6400-1tb-8gb-geforce-gtx950-2gb-l/	2899	intel core i5 6400	nvidia	gtx 950	5286	5247	1000		8	8.3	fara sistem
http://www.cel.ro/calculatoare-desktop/desktop-dell-optiplex-5040-mt-i7_6700-500gb-8gb-win10pro-l/	4094	intel core i7 6700	intel	intel hd  530	11003	964	500		8	8kg	windows 10 pro
http://www.cel.ro/calculatoare-desktop/desktop-hp-z440-ze-e5_1620v3-256gb-8gb-win7-pro-l/	7454	intel xeon  e5 1620 v3	intel		-	-	256		8	11 kg	windows 8 professional (64bit)
http://www.cel.ro/calculatoare-desktop/desktop-dell-optiplex-7040-sff-i5_6500-500gb-4gb-l/	3174	intel core i5 6500	intel	intel hd  530	5736	964	500		4	4.48kg	linux
http://www.cel.ro/calculatoare-desktop/desktop-lenovo-yoga-home-500-i3_5005u-1tbplus8gb-4gb-gt920a-1gb-win10-fhd-touch-l/	3899	intel core i3 5005u	nvidia	920a	2910	-	1000		4	4.6	windows 10
http://www.cel.ro/calculatoare-desktop/desktop-lenovo-thinkcentre-e50_00-twr-quad-core-j2900-500gb_7200rpm-4gb-dvd_rw-l/	999	intel pentium  j2900	intel	hd 	2059	-	500		4		fara sistem
http://www.cel.ro/calculatoare-desktop/diaxxa-impact-r2-powered-by-asus-i7_6700-1tbplus120gb-16gb-gtx970-4gb-l/	5149	intel core i7 6700 	nvidia	gtx 970 strix dc2 oc 256bit	11003	-	1000		16		fara sistem
http://www.cel.ro/calculatoare-desktop/desktop-lenovo-thinkcentre-m73-twr-i3_4150-500gb-4gb-dvdrw-win10pro-l/	2799	intel core i3 4150 	intel	hd  4400	4175	547	500		4		windows 10 pro
http://www.cel.ro/calculatoare-desktop/desktop-dell-optiplex-7040-mt-i7_6700-1tb-8gb-radeon-r7-350x-4gb-l/	3999	intel core i7 6700	amd	r7 350x	11003	-	1000		8	8kg	linux
http://www.cel.ro/calculatoare-desktop/desktop-lenovo-ideacentre-b40_30-aio-i7_4785t-1tb-8gb-gt820a-2gb-fullhd-touch-l/	3999	intel core i7 4785t 	nvidia	gt820a	7486	-	1000		8	8,2 kg	fara sistem
http://www.cel.ro/calculatoare-desktop/desktop-hp-z240-twr-i7_6700-1tbplus256gb-8gb-win10pro-l/	6239	intel core i7 6700	intel	intel hd  530	11003	964	256		8	8.6	windows 10 pro
http://www.cel.ro/calculatoare-desktop/desktop-dell-optiplex-5040-mt-i5_6500-500gb-4gb-dvdrw-win10pro-l/	3149	intel core i5 6500	intel	intel hd  530	5736	964	500		4	8kg	windows 10 pro
http://www.cel.ro/calculatoare-desktop/desktop-lenovo-ideacentre-y900-i5_6600k-1tbplus8gb-8gb-gtx970-4gb-win10-l/	5499	intel core i5 6600k	nvidia	gtx970	7801	8666	1000		8	15	windows 10
http://www.cel.ro/calculatoare-desktop/mini_pc-dell-optiplex-3020-i5_4590t-500gb-4gb-linux-l/	2239	intel corei5 4590t	intel	intel hd  4600	-	710	500		4	1.28 kg	linux
http://www.cel.ro/calculatoare-desktop/apple-mac-mini-i5-2.6ghz-1tb-8gb-iris-graphics-ee-os-x-yosemite-ro-l/	3389	intel core i5	intel	intel iris 	2197	1393	1000		8	1.2	mac os
http://www.cel.ro/calculatoare-desktop/desktop-lenovo-ideacentre-c260-aio-quad-core-j1900-500gb_7200rpm-4gb-dvd_rw-l/	1299	intel celeron  j1900	intel	hd 	1889	-	500		4	3.5 kg	fara sistem
http://www.cel.ro/calculatoare-desktop/desktop-hp-elitedesk-800-g2-sff-i5_6500-500gb-4gb-win7pro-l/	3664	intel core i5 6500	intel	intel hd  530	5736	964	500		4	7,6kg	windows 7 professional (64bit)
http://www.cel.ro/calculatoare-desktop/desktop-asus-rog-g20cb-i7_6700-1tbplus128gb-16gb-nvidia-gtx960-2gb-win10-l/	6399	intel core i7 6700 	nvidia	gtx 960	11003	5938	1000		16	6.38 kg	windows 10
http://www.cel.ro/calculatoare-desktop/apple-imac-21.5-i5-3.1ghz-1tb-8gb-os-x-el-capitan-4k-retina-intel-iris-pro-int-l/	7099	intel core i5	intel	intel iris pro  6200	2197	1534	1000		8	5.68	mac os
http://www.cel.ro/calculatoare-desktop/diaxxa-office-multimedia-intel-core-i5_4460-1tb-8gb-ddr3-gt_730-4gb-l/	1899	intel core i5 4460	nvidia	gt 730	6350	928	1000		8		fara sistem
http://www.cel.ro/calculatoare-desktop/desktop-asus-m32cd-i5-6400-1tb-8gb-nvidia-gtx950-2gb-l/	3149	intel core i5 6400	nvidia	gtx 950	5286	5247	1000		8	8.3	fara sistem
http://www.cel.ro/calculatoare-desktop/desktop-acer-aspire-z3_710-i5_4590t-500gb-4gb-gt840m-2gb-fullhd-touch-l/	3344	intel core i5 4590t	nvidia	gt840m	5484	-	500		4		fara sistem
http://www.cel.ro/calculatoare-desktop/desktop-dell-optiplex-9030-aio-i5_4590s-500gb_7200rpm-8gb-fullhd-touch-win8-l/	5399	intel core i5 4590s 	intel	intel hd  4600	6953	710	500		8	14.01 kg	windows 8 professional (64bit)
http://www.cel.ro/calculatoare-desktop/diaxxa-office-intel-core-i5_4460-1tb-8gb-ddr3-1600mhz-l/	1599	intel core i5 4460 	intel hd  4600		6350	710	1000		8		fara sistem
http://www.cel.ro/calculatoare-desktop/desktop-dell-precision-3620-mt-xeon-e3_1240-v5-1tb-8gb-firepro-w2100-2gb-win7pro-l/	5284	intel xeon e3 1240 v5	amd	firepro w2100	-	905	1000		8	9.1	windows 7 professional (64bit)
http://www.cel.ro/calculatoare-desktop/desktop-dell-optiplex-7040-mt-i7_6700-1tb-8gb-win10pro-l/	5464	intel core i7 6700	intel	intel hd  530	11003	964	1000		8	8kg	windows 10 pro
http://www.cel.ro/calculatoare-desktop/desktop-asus-k31cd-i3_6100-1tb-4gb-dvdrw-l/	1699	intel core i3 6100	intel	intel hd  530	3820	964	1000		4	8.6	fara sistem
http://www.cel.ro/calculatoare-desktop/desktop-dell-optiplex-7040-mt-i5_6500t-500gb-8gb-win10pro-l/	3924	intel core i5 6500t	intel	intel hd  530	5736	964	500		8	8kg	windows 10 pro
http://www.cel.ro/calculatoare-desktop/desktop-lenovo-ideacentre-700_24ish-aio-i3_6100-1tbplus8gb-4gb-gtx-950a-2gb-fhd-l/	2999	intel core i3 6100	nvidia	gtx950a	3820	1484	1000		4	8.5	fara sistem
http://www.cel.ro/calculatoare-desktop/desktop-lenovo-thinkcentre-e73-mt-i7_4790s-500gb-4gb-l/	3054	intel core i7 4790s 	intel	intel hd  4600	9623	710	500		4	7.5 kg	fara sistem
http://www.cel.ro/calculatoare-desktop/mini_pc-lenovo-thinkcentre-m73-tiny-i3_4170t-500gb-4gb-l/	1549	intel core i3 4170t	intel	intel hd  4400	4583	547	500		4		fara sistem
http://www.cel.ro/calculatoare-desktop/desktop-asus-m32cd-i7_6700-1tbplus8gb-8gb-nvidia-gtx950-2gb-l/	3799	intel core i7 6700	nvidia	gtx950	11003	5247	1000		8	8.3	fara sistem
http://www.cel.ro/calculatoare-desktop/desktop-hp-elitedesk-800-g2-twr-i7_6700-1tbplus256gb-8gb-gt730-2gb-win10pro-l/	5344	intel core i7 6700	nvidia	gt730	11003	-	256		8	9,43 kg	windows 10 pro
http://www.cel.ro/calculatoare-desktop/desktop-hp-z240-sff-xeon-e3_1245v5-256gb-16gb-win10pro-l/	6504	intel xeon e3 1245 v5	intel	intel hd  p530	-	933	256		16	5.7	windows 10 pro
http://www.cel.ro/calculatoare-desktop/desktop-lenovo-ideacentre-b40_30-aio-i3_4170t-1tb-4gb-gt820a-2gb-fullhd-touch-l/	2899	intel core i3 4170t	nvidia	gt820a	4583	-	1000		4	7.9 kg	fara sistem
http://www.cel.ro/calculatoare-desktop/desktop-dell-optiplex-3020mt-i5_4590-1tb-8gb-l/	2724	intel core i5 4590 	intel	hd  4600	6953	706	1000		8	9.4 kg	fara sistem
http://www.cel.ro/calculatoare-desktop/mini_pc-lenovo-thinkcentre-m53-tiny-dual-core-j1800-320gb_7200rpm-4gb-l/	1279	intel celeron  j1800	intel	hd 	1030	-	320		4	1.36 kg	fara sistem
http://www.cel.ro/calculatoare-desktop/desktop-lenovo-thinkcentre-m800z-i7_6700-500gb-4gb-win10pro-fhd-touch-l/	5834	intel core i7 6700	intel	intel hd  530	11003	964	500		4	7.7	windows 10 pro
http://www.cel.ro/calculatoare-desktop/desktop-dell-vostro-3900-mt-i7_4790-1tb-8gb-nvidia-gtx745-4gb-win10pro-l/	3799	intel core i7 4790	nvidia	gtx745	11204	2159	1000		8	7.2	windows 10 pro
http://www.cel.ro/calculatoare-desktop/desktop-hp-z240t-xeon-e3_1245v5-2tb-16gb-quadro-k620-2gb-win10pro-l/	6359	intel xeon e3 1245 v5	nvidia	quadro k620	-	2263	2000		16	8.6	windows 10 pro
http://www.cel.ro/calculatoare-desktop/diaxxa-buget-skylake-g4400-3.3ghz-1tb_7200rpm-4gb-500w-l/	1079	intel pentium  g4400			3686	-	1000		4		fara sistem
http://www.cel.ro/calculatoare-desktop/desktop-acer-extensa-em2610-i5_4460-500gb-4gb-win7pro-l/	2324	intel core i5 4460	intel	intel hd  4600	6350	710	500		4		windows 7 professional (64bit)
http://www.cel.ro/calculatoare-desktop/mini-pc-intel-nuc-boxnuc5pgyh0aj-n3700-2gb-nohdd-l/	1174	intel pentium  n3700	intel	intel hd 	1879	311	nohdd		2	700g	windows 10
http://www.cel.ro/calculatoare-desktop/desktop-hp-z240t-xeon-e3_1240v5-256gb-16gb-quadro-k2200-4gb-win10pro-l/	8654	intel xeon e3 1240 v5	quadro k2200	nvidia	-	3422	256		16	8.6	windows 10 pro
http://www.cel.ro/calculatoare-desktop/desktop-dell-optiplex-9020-mt-i7_4790-1tb-8gb-win7pro-l/	5334	intel core i7 4790 	intel hd  4600		11204	710	1000		8	9.4 kg	windows 7 professional (64bit)
http://www.cel.ro/calculatoare-desktop/desktop-hp-z230t-i5_4590-1tb-8gb-nvidia-quadro-k620-2gb-win10pro-l/	5249	intel core i5 4590	nvidia	quadro k620	6953	2263	1000		8	8,8	windows 10 pro
http://www.cel.ro/calculatoare-desktop/desktop-dell-optiplex-7040-mt-i7_6700-500gb-8gb-l/	4219	intel core i7 6700	intel	intel hd  530	11003	964	500		8	8kg	linux
http://www.cel.ro/calculatoare-desktop/desktop-dell-optiplex-7040-mt-i7_6700-500gb-4gb-win10-l/	3899	intel core i7 6700	intel	intel hd  530	11003	964	500		4	8kg	windows 10 pro
http://www.cel.ro/calculatoare-desktop/desktop-lenovo-ideacentre-c40_30-aio-i3_5005u-1tb-4gb-dvdrw-fullhd-l/	1899	intel core i3 5005u	intel hd  5500		2910	560	1000		4	5,5 kg	fara sistem
http://www.cel.ro/calculatoare-desktop/desktop-hp-prodesk-400-g2-i3_4160-500gb_7200rpm-4gb-dvd_rw-l/	1994	intel core i3 4160 	intel	intel hd  4400	4383	547	500		4	6.5 kg	fara sistem
http://www.cel.ro/calculatoare-desktop/desktop-dell-precision-3620-mt-i7_6700-1tbplus256gb-16gb-quadro-k620-2gb-win10-l/	6899	intel core i7 6700	nvidia	quadro k620	11003	2263	256		16	9.1	windows 10
http://www.cel.ro/calculatoare-desktop/desktop-lenovo-thinkcentre-m900z-i5_6400-500gb-4gb-win10pro-fullhd-l/	4804	intel corei5 6400	intel	intel hd  530	-	964	500		4	7,8	windows 10 pro
http://www.cel.ro/calculatoare-desktop/desktop-dell-optiplex-7040-mt-i5_6500-500gb-4gb-l/	3089	intel core i5 6500	intel	intel hd  530	5736	964	500		4	8kg	linux
http://www.cel.ro/calculatoare-desktop/desktop-dell-optiplex-9020-mt-i7_4790-1tb-8gb-radeon-r7-250-2gb-win8-l/	4909	intel core i7 4790 	r7 250		11204	1405	1000		8	9.4 kg	windows 8.1
http://www.cel.ro/calculatoare-desktop/desktop-hp-elitedesk-800-g1-i7_4770-500gb-4gb-win7-pro-l/	4414	intel core i7 4770 	intel	hd  4600	7065	706	500		4	9,3 kg	windows 7 professional (64bit)
http://www.cel.ro/calculatoare-desktop/desktop-lenovo-thinkcentre-e73-mt-i5_4460s-500gb-4gb-win8-l/	2249	intel core i5 4460s 	intel	hd  4600	6350	706	500		4	7.5 kg	windows 8 (64bit)
http://www.cel.ro/calculatoare-desktop/desktop-lenovo-thinkcentre-m900-i5_6500-500gb-4gb-win10pro-l/	3749	ntel core i5 6500	intel	intel hd  530	-	964	500		4	12.5	windows 10 pro
http://www.cel.ro/calculatoare-desktop/mini_pc-asus-vivomini-un42-dual-core-2957u-nohdd-noram-blue-l/	704	intel celeron 2957u	intel	intel hd 	1481	311	nohdd		noram	1	fara sistem
http://www.cel.ro/calculatoare-desktop/desktop-dell-optiplex-5040-mt-i3_6100-500gb-4gb-l/	2369	intel core i3 6100	intel	intel hd  530	3820	964	500		4	8kg	linux
http://www.cel.ro/calculatoare-desktop/desktop-dell-optiplex-3020-sff-i5_4590-500gb-4gb-win8-l/	2779	intel core i5 4590 	intel	hd  4600	6953	706	500		4	6 kg	windows 8 (64bit)
http://www.cel.ro/calculatoare-desktop/desktop-lenovo-ideacentre-c260-quad-core-j2900-500gb-4gb-dvdrw-hdplus-l/	1399	intel pentium j2900	intel	hd 	2059	-	500		4	3.5 kg	fara sistem
http://www.cel.ro/calculatoare-desktop/desktop-dell-optiplex-3020-sff-dual-core-g3250-500gb_7200rpm-4gb-win7-pro-l/	2149	intel pentium g3250	intel	hd 	3328	-	500		4	9.4kg	windows 8 (64bit)
